from_ba_id,from_gf_id,to_ba_id,to_gf_id
00bd8128-58a1-49b3-8ad9-342b8a509b86,,63f29fbf-76db-4a6b-9559-dfb7277ba6b5,
0288ad08-6a69-4993-9234-09033982530e,,6d63693c-592d-4da5-88d8-7125832cbd76,
04a8165f-c936-49fd-b668-749cea28b9e3,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
04b78e32-e105-407b-a8fa-6384a1100a19,,88d79d42-3fef-48ab-887e-dae60ae9072a,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,1dd23b35-32d7-489f-bee1-3985e17c113f,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,66f2cd86-a949-414e-96ac-5ea1fb702c5c,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,6b2aabb4-d16f-445e-933f-16341030fdba,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,7e71833a-fc29-4176-91cb-1df6723089ed,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,b406252b-c160-4fd6-b7f9-f61d5e2779a5,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,cf2deca6-53b8-4096-916f-32c2c71d14bf,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,eb67cf91-533d-465c-bace-c7c6d3901516,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
0559c29e-73d6-4771-a947-4091fc1cff8f,,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
05b8e85d-89ca-48dc-8ec9-2214d9103909,,2b55697f-f26e-433e-9070-f1fe9748bf7b,
0682d950-18fb-4244-a136-ddd2295dba39,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
0703a3e7-3e69-4d0b-9d8a-a86a74723e15,,4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,
07e97dbf-5c07-420f-8045-12fc70866746,,2b55697f-f26e-433e-9070-f1fe9748bf7b,
08497e2e-570d-4394-9e97-c9bbdf0f7165,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
08fab4ab-3f43-4acb-8bc1-d7bdc87c4bd7,,108ff93e-9191-42bf-b502-3a437407b22a,
09226989-50e7-4c40-bd36-5bcef32ee7a1,b406252b-c160-4fd6-b7f9-f61d5e2779a5,09226989-50e7-4c40-bd36-5bcef32ee7a1,
09226989-50e7-4c40-bd36-5bcef32ee7a1,cf2deca6-53b8-4096-916f-32c2c71d14bf,09226989-50e7-4c40-bd36-5bcef32ee7a1,
09226989-50e7-4c40-bd36-5bcef32ee7a1,e149db12-9398-4a10-8642-5db70d1a8505,09226989-50e7-4c40-bd36-5bcef32ee7a1,
093c2a78-a6df-4c6a-9940-d1192d42fba5,,053de64e-a2b9-40b6-b566-cf3a5e95e267,
