from_ba_id,from_ba_name,from_gf_id,from_gf_name,to_ba_id,to_ba_name,to_gf_id,to_gf_name
405191d9-4d7b-497e-9965-4149142653ac,Abyla,,,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
405191d9-4d7b-497e-9965-4149142653ac,Abyla,7e71833a-fc29-4176-91cb-1df6723089ed,Arborescent,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
405191d9-4d7b-497e-9965-4149142653ac,Abyla,cf2deca6-53b8-4096-916f-32c2c71d14bf,Branching,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
405191d9-4d7b-497e-9965-4149142653ac,Abyla,cbff6080-6387-44e5-b7ad-35f35f3db3a7,Columnar,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
405191d9-4d7b-497e-9965-4149142653ac,Abyla,1dd23b35-32d7-489f-bee1-3985e17c113f,Corymbose,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
405191d9-4d7b-497e-9965-4149142653ac,Abyla,eb67cf91-533d-465c-bace-c7c6d3901516,Digitate,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
405191d9-4d7b-497e-9965-4149142653ac,Abyla,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Encrusting,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
405191d9-4d7b-497e-9965-4149142653ac,Abyla,e149db12-9398-4a10-8642-5db70d1a8505,Foliose,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
405191d9-4d7b-497e-9965-4149142653ac,Abyla,888609b5-b58a-4d57-addc-a6935bba284b,Massive,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
405191d9-4d7b-497e-9965-4149142653ac,Abyla,7a3be72b-a96e-4434-9c42-a817fe3fc765,Mushroom coral,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
405191d9-4d7b-497e-9965-4149142653ac,Abyla,6b2aabb4-d16f-445e-933f-16341030fdba,Plates or tables,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
405191d9-4d7b-497e-9965-4149142653ac,Abyla,66f2cd86-a949-414e-96ac-5ea1fb702c5c,Submassive,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
2bdfc0fe-e0d3-4be2-970b-508ea40e1495,Acanthaster planci,,,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
2bdfc0fe-e0d3-4be2-970b-508ea40e1495,Acanthaster planci,7e71833a-fc29-4176-91cb-1df6723089ed,Arborescent,3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates,,
